start_year,start_month,start_day,start_hour,stop_year,stop_month,stop_day,stop_hour,PM_abs_ug,Vol_m3,PM_conc_ugm3,SSR_BC,IC_Cl,IC_NO3,IC_PO4,IC_SO4,IC_Na,IC_NH4,IC_K,IC_Mg,ICP_Al,ICP_Fe,ICP_Ti,ICP_TEO,ICP_Zn
2015,10,4,9,2015,10,13,8,75.03,3.48,21.54,1.84,0.037,0.862,0,2.846,1.112,0.351,0.181,0,70.5,156,3.8,177.9,59.8
2015,10,13,9,2015,10,22,8,84.9,4.47,19.01,1.57,0.009,0.367,0.185,2.51,0.991,0.549,0.194,0,56.7,163.8,4.4,152.3,63.4
2015,10,22,9,2015,10,31,8,95.77,3.75,25.52,1.61,0,0.285,0,4.068,1.05,0.57,0.201,0,144.1,229.6,6.7,335.3,214
2015,10,31,9,2015,11,7,4,39.93,3.23,12.36,1.57,0.089,0.718,0.521,0.502,2.159,0,0.134,0,135.3,168,5.3,259.6,176
2016,1,13,9,2016,1,22,8,8.7,4.63,1.88,0,0.145,0.858,0.078,0.255,2.449,0,0,0,31.9,53.5,1.7,38.2,20.2
2016,1,22,9,2016,1,31,8,41.53,3.97,10.46,3.63,0.293,0.543,0,0.594,1.083,0.051,0.101,0,105.3,194.4,7.2,120.6,58.9
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
2015,8,27,9,2015,9,5,8,98.8,1.93,51.1,12.51,0,0.493,0,6.653,0.479,1.578,0.824,0,125.2,433.6,7.1,437.6,244.2
