JU,PM_conc_ugm3,start_year,start_month,start_day,start_hour,stop_year,stop_month,stop_day,stop_hour,,,,,13.65833333,7/24-8/2
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,24.225,11/10-11/19
,,,,,,,,,,,,,,21.72173913,
,,,,,,,,,,,,,,NaN,
,,,,,,,,,,,,,,NaN,
,,,,,,,,,,,,,,NaN,
,,,,,,,,,,,,,,NaN,
,,,,,,,,,,,,,,NaN,
,,,,,,,,,,,,,,NaN,
,,,,,,,,,,,,,,NaN,
,,,,,,,,,,,,,,NaN,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,NaN,idk
,,,,,,,,,,,,,,NaN,
,,,,,,,,,,,,,,NaN,
,,,,,,,,,,,,,,NaN,
,,,,,,,,,,,,,,NaN,
,,,,,,,,,,,,,,NaN,
,,,,,,,,,,,,,,NaN,
,,,,,,,,,,,,,,NaN,
,,,,,,,,,,,,,,NaN,
,,,,,,,,,,,,,,NaN,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,9.5,2/2-2/11
,,,,,,,,,,,,,,11.80833333,
,,,,,,,,,,,,,,9.008333333,
,,,,,,,,,,,,,,9.883333333,
,,,,,,,,,,,,,,9.7,
,,,,,,,,,,,,,,12.425,
,,,,,,,,,,,,,,16.99166667,
,,,,,,,,,,,,,,19.78333333,
,,,,,,,,,,,,,,12.675,
,,,,,,,,,,,,,,6.725,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,6.725,2/11-2/20
,,,,,,,,,,,,,,9.7,
,,,,,,,,,,,,,,9.120833333,
,,,,,,,,,,,,,,10.375,
,,,,,,,,,,,,,,11.71666667,
,,,,,,,,,,,,,,11.72173913,
,,,,,,,,,,,,,,15.08333333,
,,,,,,,,,,,,,,15.7,
,,,,,,,,,,,,,,7.9875,
,,,,,,,,,,,,,,11.17,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,11.17,2/20-2/29
,,,,,,,,,,,,,,13.06666667,
,,,,,,,,,,,,,,12.14166667,
,,,,,,,,,,,,,,12.59166667,
,,,,,,,,,,,,,,11.61052632,
,,,,,,,,,,,,,,11.58333333,
,,,,,,,,,,,,,,12.79166667,
,,,,,,,,,,,,,,11.9875,
,,,,,,,,,,,,,,12.81538462,
,,,,,,,,,,,,,,12.21666667,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,12.21666667,2/29-3/9
,,,,,,,,,,,,,,12.83333333,
,,,,,,,,,,,,,,14.22666667,
,,,,,,,,,,,,,,11.1,
,,,,,,,,,,,,,,9.92,
,,,,,,,,,,,,,,10.14,
,,,,,,,,,,,,,,11.71071429,
,,,,,,,,,,,,,,13.32,
,,,,,,,,,,,,,,10.9,
,,,,,,,,,,,,,,13.67826087,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,13.67826087,3/9-3/18
,,,,,,,,,,,,,,11.79047619,
,,,,,,,,,,,,,,12.11666667,
,,,,,,,,,,,,,,11.60869565,
,,,,,,,,,,,,,,14.94166667,
,,,,,,,,,,,,,,15.09166667,
,,,,,,,,,,,,,,16.08695652,
,,,,,,,,,,,,,,17.9,
,,,,,,,,,,,,,,19.19583333,
,,,,,,,,,,,,,,20.14545455,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,20.14545455,3/18-3/27
,,,,,,,,,,,,,,21.68333333,
,,,,,,,,,,,,,,21.1,
,,,,,,,,,,,,,,20.01666667,
,,,,,,,,,,,,,,22.35454545,
,,,,,,,,,,,,,,19.53913043,
,,,,,,,,,,,,,,21.51666667,
,,,,,,,,,,,,,,17.72727273,
,,,,,,,,,,,,,,19.975,
,,,,,,,,,,,,,,18.6,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,18.6,3/27-4/5
,,,,,,,,,,,,,,32.28333333,
,,,,,,,,,,,,,,31.825,
,,,,,,,,,,,,,,33.6,
,,,,,,,,,,,,,,32.8,
,,,,,,,,,,,,,,24.52380952,
,,,,,,,,,,,,,,20.61904762,
,,,,,,,,,,,,,,15.26956522,
,,,,,,,,,,,,,,17.59047619,
,,,,,,,,,,,,,,15.1,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,15.1,4/5-4/14
,,,,,,,,,,,,,,NaN,
,,,,,,,,,,,,,,NaN,
,,,,,,,,,,,,,,NaN,
,,,,,,,,,,,,,,NaN,
,,,,,,,,,,,,,,NaN,
,,,,,,,,,,,,,,NaN,
,,,,,,,,,,,,,,17.42666667,
,,,,,,,,,,,,,,22.14285714,
,,,,,,,,,,,,,,22.54166667,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,22.54166667,4/14-4/23
,,,,,,,,,,,,,,23.58333333,
,,,,,,,,,,,,,,15.4,
,,,,,,,,,,,,,,17.78333333,
,,,,,,,,,,,,,,13.7,
,,,,,,,,,,,,,,23.10833333,
,,,,,,,,,,,,,,19.69583333,
,,,,,,,,,,,,,,22.04166667,
,,,,,,,,,,,,,,19.975,
,,,,,,,,,,,,,,17.95652174,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,17.95652174,4/23-5/2
,,,,,,,,,,,,,,13.5,
,,,,,,,,,,,,,,17.06,
,,,,,,,,,,,,,,16.71666667,
,,,,,,,,,,,,,,22.90833333,
,,,,,,,,,,,,,,23.90833333,
,,,,,,,,,,,,,,23.425,
,,,,,,,,,,,,,,31.66666667,
,,,,,,,,,,,,,,22.86666667,
,,,,,,,,,,,,,,12.20833333,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,12.20833333,5/2-5/11
,,,,,,,,,,,,,,16.15,
,,,,,,,,,,,,,,10.05833333,
,,,,,,,,,,,,,,16.97916667,
,,,,,,,,,,,,,,17.79130435,
,,,,,,,,,,,,,,17.88095238,
,,,,,,,,,,,,,,18.625,
,,,,,,,,,,,,,,19.475,
,,,,,,,,,,,,,,9.441666667,
,,,,,,,,,,,,,,15.1625,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,15.1625,5/11-5/20
,,,,,,,,,,,,,,16.00833333,
,,,,,,,,,,,,,,13.67916667,
,,,,,,,,,,,,,,17.2,
,,,,,,,,,,,,,,16,
,,,,,,,,,,,,,,12.65217391,
,,,,,,,,,,,,,,26.78333333,
,,,,,,,,,,,,,,16.775,
,,,,,,,,,,,,,,16.10833333,
,,,,,,,,,,,,,,12.225,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,12.225,5/20-5/29
,,,,,,,,,,,,,,11.94166667,
,,,,,,,,,,,,,,10.91666667,
,,,,,,,,,,,,,,12.53333333,
,,,,,,,,,,,,,,11.325,
,,,,,,,,,,,,,,10.65,
,,,,,,,,,,,,,,9.566666667,
,,,,,,,,,,,,,,8.75,
,,,,,,,,,,,,,,9.470588235,
,,,,,,,,,,,,,,11.05714286,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,11.05714286,5/29-6/5
,,,,,,,,,,,,,,20.15454545,
,,,,,,,,,,,,,,20.175,
,,,,,,,,,,,,,,21.67272727,
,,,,,,,,,,,,,,19.90833333,
,,,,,,,,,,,,,,13.05,
,,,,,,,,,,,,,,15.375,
,,,,,,,,,,,,,,29,
